NameSpinner,새끼 거미 방적자
RestraintSpiderlingsWebbingLv1ArmDesc,끈끈하고 질긴 거미줄 몇 가닥이 양 손목을 감아 두 팔을 등 뒤로 끌어당긴다.
RestraintSpiderlingsWebbingLv1ArmDesc2,실 사이에는 아직 틈이 남아 있다. 살짝 몸을 비틀면 가느다란 흰 줄이 팽팽해진다.
RestraintSpiderlingsWebbingLv1MittenLeft,거미줄 벙어리장갑·왼손
RestraintSpiderlingsWebbingLv1MittenLeftDesc,얇은 거미줄이 왼손에 달라붙어 손가락들을 부드러운 덮개 안으로 모은다.
RestraintSpiderlingsWebbingLv1MittenLeftDesc2,손끝에 보드라운 실뭉치가 닿고, 가장자리에는 여물지 않은 가는 실이 늘어져 있다.
RestraintSpiderlingsWebbingLv1MittenRight,거미줄 벙어리장갑·오른손
RestraintSpiderlingsWebbingLv1MittenRightDesc,얇은 거미줄이 오른손에 달라붙어 손가락들을 부드러운 덮개 안으로 모은다.
RestraintSpiderlingsWebbingLv1MittenRightDesc2,손가락 마디가 얕은 굴곡을 만들고, 끈끈한 실 몇 가닥이 손등에서 손바닥으로 돌아간다.
RestraintSpiderlingsWebbingLv1Belly,거미줄 복대
RestraintSpiderlingsWebbingLv1BellyDesc,끈끈하고 질긴 거미줄이 아랫배에 붙어 좁은 띠를 이루고 있다.
RestraintSpiderlingsWebbingLv1BellyDesc2,띠 가장자리의 가는 보풀이 몸의 움직임을 따라 가볍게 흔들린다.
RestraintSpiderlingsWebbingLv1Legs,거미줄 다리 결박
RestraintSpiderlingsWebbingLv1LegsDesc,성긴 거미줄이 모은 두 다리를 가로질러 다리 사이에 가는 흰 선을 긋는다.
RestraintSpiderlingsWebbingLv1LegsDesc2,그물눈이 아직 또렷하다. 한 곳을 당기면 이웃한 실도 함께 떨린다.
RestraintSpiderlingsWebbingLv1Ankles,거미줄 발목 결박
RestraintSpiderlingsWebbingLv1AnklesDesc,거미줄 몇 가닥이 양 발목 사이에서 엇갈리며 발목을 가볍게 모은다.
RestraintSpiderlingsWebbingLv1AnklesDesc2,흰 실이 발목 옆을 돌아 두 발 사이에 좁은 다리처럼 팽팽하게 걸린다.
RestraintSpiderlingsWebbingLv1Foot,거미줄 발 덮개
RestraintSpiderlingsWebbingLv1FootDesc,얇은 거미줄이 모은 두 발을 감싸 발 가장자리를 따라 달라붙어 있다.
RestraintSpiderlingsWebbingLv1FootDesc2,가는 실이 발등을 따라 퍼지고, 그물 아래에는 발끝의 윤곽이 아직 선명하다.
RestraintSpiderlingsWebbingLv1Blindfold,거미줄 안대
RestraintSpiderlingsWebbingLv1BlindfoldDesc,얇은 거미줄 띠가 두 눈을 덮어 빛이 부드러워지고 먼 곳의 윤곽이 흐려진다.
RestraintSpiderlingsWebbingLv1BlindfoldDesc2,가장자리가 눈가에 붙어 있고, 고개를 돌리면 풀린 실 몇 가닥이 뺨을 스친다.
RestraintSpiderlingsWebbingLv2Arm,겹짜임 팔 결박
RestraintSpiderlingsWebbingLv2ArmDesc,거미줄이 손목과 팔 사이를 거듭 오가며 또렷하던 가닥들을 넓고 두꺼운 띠로 엮었다.
RestraintSpiderlingsWebbingLv2ArmDesc2,몸을 비틀면 당겨진 실이 그물 전체를 팽팽하게 하고, 손목에는 끈끈한 매듭이 빽빽하다.
RestraintSpiderlingsWebbingLv2Belly,겹짜임 복대
RestraintSpiderlingsWebbingLv2BellyDesc,거미줄이 아랫배를 따라 거듭 펼쳐져 좁은 띠를 두툼하게 덮었다.
RestraintSpiderlingsWebbingLv2BellyDesc2,새 실과 묵은 실이 달라붙고, 엇갈린 무늬가 허리 옆까지 이어진다.
RestraintSpiderlingsWebbingLv2Legs,겹짜임 다리 결박
RestraintSpiderlingsWebbingLv2LegsDesc,두꺼운 거미줄이 두 다리를 가로질러 그 사이를 이어진 그물로 채웠다.
RestraintSpiderlingsWebbingLv2LegsDesc2,성기던 그물눈은 작은 틈이 되었고, 겹친 띠들이 다리의 움직임을 따라 함께 당겨진다.
RestraintSpiderlingsWebbingLv2Ankles,겹짜임 발목 결박
RestraintSpiderlingsWebbingLv2AnklesDesc,거미줄이 발목을 거듭 감아 엇갈린 가닥들을 두꺼운 고리로 덮었다.
RestraintSpiderlingsWebbingLv2AnklesDesc2,고리 사이로 끈끈한 실이 이어져, 발목이 움직이면 엉킨 흰 줄들이 서로를 당긴다.
RestraintSpiderlingsWebbingLv2Foot,겹짜임 발 덮개
RestraintSpiderlingsWebbingLv2FootDesc,거미줄이 두 발을 따라 거듭 겹쳐져 발등과 가장자리를 두꺼운 그물 속에 감쌌다.
RestraintSpiderlingsWebbingLv2FootDesc2,발끝의 윤곽은 흐려졌고 표면에는 겹겹이 눌린 실무늬만 남았다.
RestraintSpiderlingsWebbingLv1Stuffing,거미줄 입마개 속솜
RestraintSpiderlingsWebbingLv1StuffingDesc,부드러운 거미줄 뭉치가 입안을 채워 또렷하던 목소리를 흐린다.
RestraintSpiderlingsWebbingLv1StuffingDesc2,입술 뒤에 모인 보드라운 실 사이로 못다 한 말이 흐릿한 웅얼거림으로 흩어진다.
RestraintSpiderlingsWebbingLv1Gag,거미줄 재갈
RestraintSpiderlingsWebbingLv1GagDesc,넓은 거미줄 띠가 입을 가로질러 입술 사이의 목소리를 먹먹하게 누른다.
RestraintSpiderlingsWebbingLv1GagDesc2,끈끈한 실이 입꼬리에서 뺨으로 뻗고, 가장자리에는 겹친 가닥들이 아직 보인다.
RestraintSpiderlingsWebbingLv3Arm,촘촘한 팔 결박
RestraintSpiderlingsWebbingLv3ArmDesc,촘촘한 거미줄이 등 뒤의 두 팔을 통째로 감싸 손목의 매듭까지 두꺼운 흰 껍질에 묻었다.
RestraintSpiderlingsWebbingLv3ArmDesc2,몸을 비틀어도 표면에 잔주름만 잡힐 뿐, 전처럼 뚜렷한 틈은 보이지 않는다.
RestraintSpiderlingsWebbingLv3Belly,촘촘한 복대
RestraintSpiderlingsWebbingLv3BellyDesc,가는 거미줄이 빽빽하게 포개져 배를 끊김 없는 껍질로 감쌌다.
RestraintSpiderlingsWebbingLv3BellyDesc2,짜인 무늬는 두꺼운 표면에 묻히고 몸이 움직일 때 얕은 주름만 떠오른다.
RestraintSpiderlingsWebbingLv3Legs,촘촘한 다리 결박
RestraintSpiderlingsWebbingLv3LegsDesc,거미줄이 모은 두 다리를 완전히 덮고 그 사이의 빈틈도 촘촘한 흰 실로 메웠다.
RestraintSpiderlingsWebbingLv3LegsDesc2,두 다리의 윤곽이 하나로 합쳐지고, 보이던 띠들은 매끈한 덮개 아래 묻혔다.
RestraintSpiderlingsWebbingLv3Ankles,촘촘한 발목 결박
RestraintSpiderlingsWebbingLv3AnklesDesc,촘촘한 거미줄이 발목을 감싸 이웃한 고리들을 이음새 없는 덮개로 엮었다.
RestraintSpiderlingsWebbingLv3AnklesDesc2,매듭과 이음새는 사라지고 발목 옆의 얕은 자국만 움직임을 따라 바뀐다.
RestraintSpiderlingsWebbingLv3Foot,촘촘한 발 덮개
RestraintSpiderlingsWebbingLv3FootDesc,거미줄이 두 발을 완전히 감싸 발등과 가장자리의 세부를 두꺼운 껍질 안에 묻었다.
RestraintSpiderlingsWebbingLv3FootDesc2,수많은 실이 흰 면으로 합쳐져 서로 붙은 두 발의 전체적인 모양만 남았다.
RestraintSpiderlingsWebbingLv3Blindfold,촘촘한 안대
RestraintSpiderlingsWebbingLv3BlindfoldDesc,촘촘한 거미줄이 눈을 덮어 안대 가장자리마저 이어진 흰 면 속에 묻었다.
RestraintSpiderlingsWebbingLv3BlindfoldDesc2,뺨 옆에는 더 이상 풀린 실이 날리지 않고, 밀착한 덮개가 머리와 함께 움직인다.
RestraintSpiderlingsWebbingLv3Gag,촘촘한 재갈
RestraintSpiderlingsWebbingLv3GagDesc,두꺼운 거미줄이 입 위로 퍼져 겹친 그물을 빽빽하고 연속된 표면으로 덮었다.
RestraintSpiderlingsWebbingLv3GagDesc2,입술 옆의 이음새는 사라졌고, 먹먹한 소리가 실을 지나며 미세한 떨림을 만든다.
RestraintSpiderlingsWebbingLv3Hood,촘촘한 거미줄 두건
RestraintSpiderlingsWebbingLv3HoodDesc,빛을 막는 거미줄이 정수리에서 내려와 머리 전체를 두꺼운 두건으로 감쌌다.
RestraintSpiderlingsWebbingLv3HoodDesc2,머리카락과 얼굴의 세부는 흰 실 아래 숨고, 움직임을 따라 흔들리는 윤곽만 남았다.
RestraintSpiderlingsWebbingCocoon,어린 거미의 실고치
RestraintSpiderlingsWebbingCocoonDesc,촘촘한 거미줄이 몸을 두꺼운 고치로 감쌌다. 가장자리는 입 아래까지 오므라들고 머리 윗부분만 밖에 남아 있다.
RestraintSpiderlingsWebbingCocoonDesc2,몸을 비틀면 고치 벽이 미세하게 떨린다. 바닥에 끌리는 실이 바스락거리며 안쪽의 움직임을 어둠 속으로 전하는 듯하다.
KinkyDungeonSpiderlingsWebbingLv1Covered,TargetLv1은 TargetLv2 아래에 묻혀 있다. 손에 닿는 것은 겉을 덮은 끈끈한 실뿐이다.
KinkyDungeonSpiderlingsCocoonAnchored,새끼 거미들이 고치 둘레에 거미줄을 겹겹이 당겨 당신을 그 자리에 단단히 고정한다!
KDMapMod_SpiderlingsInfestation,새끼 거미 창궐
KinkyDungeonMapModSpiderlingsInfestation,구석마다 실이 뻗고 그림자 속에서 바스락거림이 서로 답한다. 이곳에는 오래전부터 다른 주민이 있었다.
KDEscapeMethod_SpiderlingsInfestation,목표 둥지 파괴
KDEscapeMethodDesc_SpiderlingsInfestation,처음부터 이곳에 자리 잡은 둥지들이 아직 어둠 속에서 꿈틀거린다. 입구 깊은 곳에서 자잘하게 긁는 소리가 난다.
SpiderlingsInfestationProgress,파괴한 목표 둥지: CURRENT/TARGET
SpiderlingsInfestationBlocked,계단 앞에서 발길이 멎는다. 둥지 깊은 곳의 바스락거림은 아직 잠잠해지지 않았다. (CURRENT/TARGET)
SpiderlingsInfestationComplete,처음부터 이곳을 차지했던 둥지가 모두 무너졌다. 더 깊은 곳으로 향하는 계단이 눈앞에 있다. (TARGET/TARGET)
KDModButtonspiderlingsPinkWebbing,분홍색 거미줄 (끄기: 원래 색)
KDModButtonspiderlingsEnableHood,새끼거미 비단 두건 (끄기: 착용 안 함)
KinkyDungeonSpiderlingsWebbingInterwoven,엇갈린 거미줄이 조여들며 몸의 다른 부위까지 휘감는다.
KinkyDungeonStruggleCutFailSpiderlingsWebbing,당신은 TargetRestraint의 실 틈을 따라 날을 밀어 넣는다. 끈적한 실 몇 가닥이 끊어지며 베인 틈이 조금 깊어진다.
KinkyDungeonStruggleCutFailSpiderlingsWebbingAroused,당신은 TargetRestraint의 실 틈을 따라 날을 밀어 넣는다. 끈적한 실 몇 가닥이 끊어지며 베인 틈이 조금 깊어진다.
KinkyDungeonStruggleCutSuccessSpiderlingsWebbing,당신은 TargetRestraint에 남은 마지막 실을 잘라 낸다. 찢어진 거미줄이 구속하던 자리에서 떨어진다.
KinkyDungeonStruggleStruggleFailSpiderlingsWebbing,당신은 TargetRestraint를 밀어 벌린다. 팽팽한 실이 느슨해지며 그물 사이의 틈이 조금 넓어진다.
KinkyDungeonStruggleStruggleFailSpiderlingsWebbingAroused,당신은 TargetRestraint를 밀어 벌린다. 팽팽한 실이 느슨해지며 그물 사이의 틈이 조금 넓어진다.
KinkyDungeonStruggleStruggleSuccessSpiderlingsWebbing,당신은 TargetRestraint의 마지막 끈적한 실을 떨쳐 내고 풀린 거미줄을 모은다.
KinkyDungeonStruggleRemoveFailSpiderlingsWebbing,당신은 TargetRestraint의 달라붙은 실을 하나씩 푼다. 거미줄의 작은 부분이 벗겨진다.
KinkyDungeonStruggleRemoveFailSpiderlingsWebbingAroused,당신은 TargetRestraint의 달라붙은 실을 하나씩 푼다. 거미줄의 작은 부분이 벗겨진다.
KinkyDungeonStruggleRemoveSuccessSpiderlingsWebbing,당신은 TargetRestraint를 벗겨 내고 풀린 실을 모은다.
KinkyDungeonStruggleCutFailSpiderlingsCocoon,당신은 TargetRestraint에 날 끝을 밀어 넣는다. 고치 벽의 좁은 틈을 따라 실 몇 가닥이 더 끊어진다.
KinkyDungeonStruggleCutFailSpiderlingsCocoonAroused,당신은 TargetRestraint에 날 끝을 밀어 넣는다. 고치 벽의 좁은 틈을 따라 실 몇 가닥이 더 끊어진다.
KinkyDungeonStruggleCutSuccessSpiderlingsCocoon,당신은 TargetRestraint에 남은 마지막 이음새를 잘라 낸다. 찢어진 고치 껍질이 몸에서 벗겨져 떨어진다.
KinkyDungeonStruggleStruggleFailSpiderlingsCocoon,당신은 TargetRestraint를 안에서 밀어 벌린다. 고치 벽이 떨리며 안쪽의 실 몇 가닥이 느슨해져 끊어진다.
KinkyDungeonStruggleStruggleFailSpiderlingsCocoonAroused,당신은 TargetRestraint를 안에서 밀어 벌린다. 고치 벽이 떨리며 안쪽의 실 몇 가닥이 느슨해져 끊어진다.
KinkyDungeonStruggleStruggleSuccessSpiderlingsCocoon,당신은 TargetRestraint의 갈라진 틈을 벌리고 늘어진 고치 밖으로 몸을 빼낸다.
KinkyDungeonStruggleRemoveFailSpiderlingsCocoon,당신은 TargetRestraint의 가장자리를 조금씩 벗긴다. 달라붙은 실 층이 조금 더 벌어진다.
KinkyDungeonStruggleRemoveFailSpiderlingsCocoonAroused,당신은 TargetRestraint의 가장자리를 조금씩 벗긴다. 달라붙은 실 층이 조금 더 벌어진다.
KinkyDungeonStruggleRemoveSuccessSpiderlingsCocoon,당신은 TargetRestraint를 벗겨 열고 느슨해진 고치 밖으로 빠져나온다.
KDModButtonspiderlingsMapPopulationCap,맵당 새끼 거미 상한 (0: 무제한)
KinkyDungeonStatSpiderlingsCocoonStart,고치 속에서 깨어나다
KinkyDungeonStatDescSpiderlingsCocoonStart,부드러운 고치 안에서 깨어나니, 촘촘히 겹쳐진 거미줄이 머리부터 발끝까지 온몸을 감싸고 있습니다. 살짝 몸을 움직일 때마다 몸에 밀착된 실들이 가만히 당겨집니다.
KinkyDungeonSpellCastSpiderlingsJumperDashNPC,도약 새끼거미가 상대의 발밑을 바라보며 몸을 낮추고 뛸 준비를 한다.
KDModButtonspiderlingsNestTunnelerCap,둥지별 Tunneler 누적 한도 (0: 소환 안 함)
RestraintSpiderlingsSpinnerLegbinder,거미줄 다리 주머니
RestraintSpiderlingsSpinnerLegbinderDesc,발바닥부터 허벅지 위쪽까지 감싸는 거미줄. 양팔은 자유롭다.
RestraintSpiderlingsSpinnerLegbinderDesc2,넓은 거미줄 띠를 나선형으로 감는 데모. 자르기 4회 또는 제거／저항 6회. 미완성이면 절반이며 진행 공유.
SpiderlingsSpinnerPull,거미줄 떼기 · 체력 10 · 1턴
SpiderlingsSpinnerContest,참여 Spinner: {count} · 턴당 직조 +{rate}
SpiderlingsSpinnerStart,온전한 그물이 다리를 붙잡았다. 구속 막대보다 먼저 탈출 막대를 채우자. 합류한 Spinner는 직조 속도와 탈출 목표를 높인다.
SpiderlingsSpinnerWin,실을 끊었다. 참여한 모든 Spinner가 이후 네 턴 동안 기절한다.
SpiderlingsSpinnerInterrupt,공동 작업이 중단됐다. 행동할 수 있지만 이미 감긴 거미줄은 남는다.
SpiderlingsSpinnerTired,체력이 10 필요하다. 기다리거나 물약을 사용할 수 있다.
SpiderlingsSpinnerWrap,다리를 감싸는 데 세계 턴 다섯 번이 걸립니다. 팔 상태는 유지됩니다.
SpiderlingsSpinnerDone,주머니가 완성됐다. 공격, 아이템 사용, 느린 이동 또는 제거가 가능하다.
KinkyDungeonStatSpiderlingsSpinnerDemo,거미줄 짜기 체험
KinkyDungeonStatDescSpiderlingsSpinnerDemo,평평한 시험장에서 거미가 바닥 덫을 놓고 서로 연결하여 퇴로를 막는다. 대항과 5턴 감싸기를 시험한다.
NameSpiderlingsSilkAnchor,거미줄 매듭
KillSpiderlingsSilkAnchor,거미줄 경계가 찢어집니다.
SpiderlingsFieldPreparing,거미는 덫을 놓은 뒤 연결하여 퇴로를 막는다. 닫히기 전에 나가거나 연결을 끊자.
SpiderlingsFieldReady,두 덫이 연결되었다. 거미는 다른 퇴로를 막는다.
SpiderlingsFieldSprung,연결된 덫이 구역을 둘러쌌다. 안에 남으면 포획될 수 있다.
SpiderlingsFieldBroken,매듭이 끊어져 덫과 구속이 풀립니다.
SpiderlingsFieldReset,시험 초기화
SpiderlingsFieldJumper,도약 거미 풀기
SpiderlingsFieldStatus,거미줄 구역: {phase} · 덫 {count}/4 · 연결 {links}/4
SpiderlingsFieldPhasepreparing,준비 중
SpiderlingsFieldPhaseready,연결 준비
SpiderlingsFieldPhasesprung,폐쇄 완료
SpiderlingsFieldPhasebroken,파괴됨
SpiderlingsFieldPhasecomplete,완료
SpiderlingsSpinnerWeave,구속: {value}/100
SpiderlingsSpinnerEscape,탈출: {value}/{goal}
SpiderlingsFieldAddSpinner,Spinner 추가
SpiderlingsFieldTrap,바닥 거미줄이 발을 붙잡아 잠시 이동을 늦춘다.
SpiderlingsFieldRebuild,{turns} 월드 턴 후 거미들이 다시 설치를 시작한다.
SpiderlingsFieldWaiting,함정 준비 완료. 들어올 때까지 서쪽 입구는 열려 있다.
NameMageSpiderlings,Spiderling Mage
KillMageSpiderlings,The Spiderling Mage draws back its legs and retreats into the shadows.
KinkyDungeonSpellSpiderlingsMageBolt,Mage Silk Bolt
KinkyDungeonSpellCastSpiderlingsMageBolt,The Spiderling Mage casts a bright knot of silk toward you.
KinkyDungeonSpellSpiderlingsMageRune,Silken Rune
KinkyDungeonSpellCastSpiderlingsMageRune,The Spiderling Mage marks a nearby tile with a glowing rune.
KinkyDungeonSpellSpiderlingsMageHex,Shield-Eating Sigil
KinkyDungeonSpellCastSpiderlingsMageHex,The Spiderling Mage traces a wide sigil across the ground.
KinkyDungeonSpellSpiderlingsMageCollapse,Thousand-Silk Collapse
KinkyDungeonSpellCastSpiderlingsMageCollapse,Silk gathers at the edge of a broad spell circle.
