NameSpinner,织网幼蛛
RestraintSpiderlingsWebbingLv2AnklesDesc,蛛丝沿着两踝一圈圈铺叠，将疏网织成贴合的宽带。
RestraintSpiderlingsWebbingLv2AnklesDesc2,交叠的丝缕依着踝侧的弧度伏下，边缘留着细软的丝絮。
RestraintSpiderlingsWebbingLv2Foot,缠织蛛丝裹足
RestraintSpiderlingsWebbingLv2FootDesc,蛛丝顺着双足反复铺叠，将脚背与足缘裹进厚软的缠网。
RestraintSpiderlingsWebbingLv2FootDesc2,足尖的轮廓隔着丝层渐渐柔和，网面上留着一道道细致的叠纹。
RestraintSpiderlingsWebbingLv1Stuffing,蛛丝口塞
RestraintSpiderlingsWebbingLv1StuffingDesc,柔软的蛛丝团拢在口中，让说出的话带上含混的轻声。
RestraintSpiderlingsWebbingLv1StuffingDesc2,蓬松的丝絮贴在唇后，随着含混的字句轻轻颤动。
RestraintSpiderlingsWebbingLv1Gag,蛛丝口枷
RestraintSpiderlingsWebbingLv1GagDesc,一条柔韧的蛛丝横覆嘴部，将说话声隔成含混的低声。
RestraintSpiderlingsWebbingLv1GagDesc2,丝缕沿着唇角贴向两颊，边缘细细叠好，仍能看清交织的纹路。
RestraintSpiderlingsWebbingLv3Arm,密织蛛丝缚臂
RestraintSpiderlingsWebbingLv3ArmDesc,绵密的蛛丝将背后的双臂连片包覆，腕间的丝结也织进平整的丝层。
RestraintSpiderlingsWebbingLv3ArmDesc2,丝面贴合着双臂，扭动时浮起浅浅的褶纹，原先的空隙已被细细织合。
RestraintSpiderlingsWebbingLv3Belly,密织蛛丝腹缠
RestraintSpiderlingsWebbingLv3BellyDesc,细密的蛛丝层层相叠，顺着腹部的轮廓织成连续的包覆。
RestraintSpiderlingsWebbingLv3BellyDesc2,交织的纹路融进平整的丝面，身体起伏时，表面便泛起柔缓的浅褶。
RestraintSpiderlingsWebbingLv3Legs,密织蛛丝缚腿
RestraintSpiderlingsWebbingLv3LegsDesc,绵密的蛛丝完整包住并拢的双腿，将腿间的网眼一一织合。
RestraintSpiderlingsWebbingLv3LegsDesc2,双腿的轮廓连在同一片丝面下，细密的叠层随着动作微微起伏。
RestraintSpiderlingsWebbingLv3Ankles,密织蛛丝缚踝
RestraintSpiderlingsWebbingLv3AnklesDesc,绵密的蛛丝连片包住两踝，将束环间的空隙细细织合。
RestraintSpiderlingsWebbingLv3AnklesDesc2,丝面平整地贴着脚踝，随着动作泛起浅浅的褶纹。
RestraintSpiderlingsWebbingLv3Foot,密织蛛丝裹足
RestraintSpiderlingsWebbingLv3FootDesc,层层蛛丝顺着双足细细包覆，将脚背与足缘一同收进绵密的丝层。
RestraintSpiderlingsWebbingLv3FootDesc2,细密的丝缕连成平整的包裹，双足并拢的外形柔和地显在丝面上。
RestraintSpiderlingsWebbingLv3Blindfold,密织蛛丝眼罩
RestraintSpiderlingsWebbingLv3BlindfoldDesc,厚软的蛛丝覆住双眼，将眼罩的边缘细细织合成一片。
RestraintSpiderlingsWebbingLv3BlindfoldDesc2,细缕平服地贴在眼角与脸颊旁，转头时，整片丝面随之挪动。
RestraintSpiderlingsWebbingLv3Gag,密织蛛丝口枷
RestraintSpiderlingsWebbingLv3GagDesc,层层蛛丝贴着嘴部铺好，将交叠的缠网织成厚软的一片。
RestraintSpiderlingsWebbingLv3GagDesc2,唇角的接缝已被细细织合，含混的声音透过丝层，让表面轻轻颤动。
RestraintSpiderlingsWebbingLv3Hood,密织蛛丝头罩
RestraintSpiderlingsWebbingLv3HoodDesc,绵密不透光的蛛丝从头顶顺着轮廓铺下，将整个头部包进贴合的丝罩。
RestraintSpiderlingsWebbingLv3HoodDesc2,发梢与面庞收在平整的丝层下，细软的叠纹随着转头轻轻起伏。
RestraintSpiderlingsWebbingCocoon,幼蛛丝茧
RestraintSpiderlingsWebbingCocoonDesc,层层蛛丝贴合身体织成厚软的丝茧，茧口拢至嘴部下缘，将头部上半留在外面。
RestraintSpiderlingsWebbingCocoonDesc2,茧壁随着身体的动作泛起浅褶，垂落的丝缕沿地面轻轻拂过，发出细柔的窸窣声。
KinkyDungeonSpiderlingsWebbingLv1Covered,TargetLv1覆在TargetLv2下面。先移除外层，才能处理里面的蛛丝。
KinkyDungeonSpiderlingsCocoonAnchored,幼蛛沿着丝茧牵好层层蛛网，将茧身固定在原地，你暂时无法移动。
KDMapMod_SpiderlingsInfestation,幼蛛侵扰
KinkyDungeonMapModSpiderlingsInfestation,角落铺着细软的蛛网，幼蛛沿丝缕轻巧地来往，四下响着轻细的窸窣声。
KDEscapeMethod_SpiderlingsInfestation,摧毁目标巢穴
KDEscapeMethodDesc_SpiderlingsInfestation,最初筑在这里的几处蛛巢，洞边垂着细软的丝缕。摧毁这些目标巢穴后，便可继续下行。
SpiderlingsInfestationProgress,目标巢穴已摧毁：CURRENT/5
SpiderlingsInfestationBlocked,还有目标巢穴尚未摧毁，暂时无法沿楼梯下行。（CURRENT/5）
SpiderlingsInfestationComplete,目标巢穴已尽数摧毁，散落的丝缕渐渐落定，可以沿楼梯继续前行了。（5/5）
KDModButtonspiderlingsPinkWebbing,粉色蛛丝（关闭为原色）
KinkyDungeonSpiderlingsWebbingInterwoven,两束蛛丝相互交织，贴着身体铺好，又缠住了一处。
KinkyDungeonStruggleCutFailSpiderlingsWebbing,你沿TargetRestraint的丝缝细细割开，几根丝线分断，切口又延长了一点。
KinkyDungeonStruggleCutFailSpiderlingsWebbingAroused,你沿TargetRestraint的丝缝细细割开，几根丝线分断，切口又延长了一点。
KinkyDungeonStruggleCutSuccessSpiderlingsWebbing,你割断TargetRestraint最后相连的丝缕，零散的丝片轻轻落下。
KinkyDungeonStruggleStruggleFailSpiderlingsWebbing,你撑动TargetRestraint，丝缕随着动作一点点松开，网间的空隙又宽了些。
KinkyDungeonStruggleStruggleFailSpiderlingsWebbingAroused,你撑动TargetRestraint，丝缕随着动作一点点松开，网间的空隙又宽了些。
KinkyDungeonStruggleStruggleSuccessSpiderlingsWebbing,你挣开TargetRestraint最后牵连的丝缕，将松脱的蛛丝收拢。
KinkyDungeonStruggleRemoveFailSpiderlingsWebbing,你捻开TargetRestraint上相黏的细缕，将一小片网面慢慢揭起。
KinkyDungeonStruggleRemoveFailSpiderlingsWebbingAroused,你捻开TargetRestraint上相黏的细缕，将一小片网面慢慢揭起。
KinkyDungeonStruggleRemoveSuccessSpiderlingsWebbing,你揭下TargetRestraint，将松脱的丝缕拢好收起。
KinkyDungeonStruggleCutFailSpiderlingsCocoon,你沿TargetRestraint的细缝继续割开，茧壁上的丝线分断，边缘柔软地垂下。
KinkyDungeonStruggleCutFailSpiderlingsCocoonAroused,你沿TargetRestraint的细缝继续割开，茧壁上的丝线分断，边缘柔软地垂下。
KinkyDungeonStruggleCutSuccessSpiderlingsCocoon,你割开TargetRestraint最后相连的丝缝，割断的茧壁缓缓散落。
KinkyDungeonStruggleStruggleFailSpiderlingsCocoon,你抵着TargetRestraint向外撑动，茧壁泛起浅褶，内侧的丝缕又松开了一些。
KinkyDungeonStruggleStruggleFailSpiderlingsCocoonAroused,你抵着TargetRestraint向外撑动，茧壁泛起浅褶，内侧的丝缕又松开了一些。
KinkyDungeonStruggleStruggleSuccessSpiderlingsCocoon,你撑开TargetRestraint上的开口，从松软的茧层中钻出，将脱下的蛛丝收拢。
KinkyDungeonStruggleRemoveFailSpiderlingsCocoon,你沿TargetRestraint的边缘慢慢揭开，相黏的丝层又分开了一小段。
KinkyDungeonStruggleRemoveFailSpiderlingsCocoonAroused,你沿TargetRestraint的边缘慢慢揭开，相黏的丝层又分开了一小段。
KinkyDungeonStruggleRemoveSuccessSpiderlingsCocoon,你揭开TargetRestraint，从松脱的丝层中钻出，将脱下的丝茧收好。
KDModButtonspiderlingsMapPopulationCap,单图幼蛛上限（0 为不限）
KinkyDungeonStatSpiderlingsCocoonStart,丝茧初醒
KinkyDungeonStatDescSpiderlingsCocoonStart,你在柔软的丝茧中醒来，细密的蛛丝从头到脚层层贴裹，将你完全包覆。每一次轻轻挪动，都牵动着紧贴全身的丝缕。
KinkyDungeonSpellCastSpiderlingsJumperDashNPC,跃击幼蛛盯住对手脚下的地面，伏低身体，准备跃去。
KDModButtonspiderlingsNestTunnelerCap,每巢累计掘穴幼蛛上限（0 为不召唤）
RestraintSpiderlingsSpinnerLegbinder,蛛丝腿袋
RestraintSpiderlingsSpinnerLegbinderDesc,蛛丝从脚底包裹至大腿上段，双臂仍可自由活动。
RestraintSpiderlingsSpinnerLegbinderDesc2,试玩宽带螺旋蛛丝。完整切割四次或解开／挣脱六次；半程次数减半，混用共享进度。
SpiderlingsSpinnerPull,挣开蛛丝 · 精力 10 · 1 回合
SpiderlingsSpinnerContest,参与幼蛛：{count} · 每回合织网 +{rate}
SpiderlingsSpinnerStart,完整围网牵住了你的双腿。在拘束进度填满前完成挣脱；加入的幼蛛会加快织网并提高挣脱目标。
SpiderlingsSpinnerWin,你挣开了连接丝。所有参与幼蛛眩晕四个后续回合。
SpiderlingsSpinnerInterrupt,协作结网被打断，你可以继续行动；已经织成的蛛丝会留下。
SpiderlingsSpinnerTired,挣开需要 10 精力。你仍可等待或使用药水。
SpiderlingsSpinnerWrap,结网幼蛛开始包裹双腿，持续五个世界回合；上身和手臂保持原有状态。
SpiderlingsSpinnerDone,腿袋已织成。你可以攻击、用物、缓慢移动或解除腿袋。
KinkyDungeonStatSpiderlingsSpinnerDemo,结网幼蛛试玩
KinkyDungeonStatDescSpiderlingsSpinnerDemo,进入平坦场地，观看幼蛛放置地面陷阱并连接封路，体验双进度对抗、五回合包裹和跳跃幼蛛避让。
NameSpiderlingsSilkAnchor,蛛网结点
KillSpiderlingsSilkAnchor,蛛网边界裂开了。
SpiderlingsFieldPreparing,幼蛛先放地面陷阱，再连接陷阱拦截退路。可以在封闭前离开，或切断连接。
SpiderlingsFieldReady,两个陷阱已连接。幼蛛继续拦截其他退路。
SpiderlingsFieldSprung,陷阱连接已围住区域，仍在内部的玩家可能被捕获。
SpiderlingsFieldBroken,结点断裂，围网瓦解，牵制解除。
SpiderlingsFieldReset,重置试玩
SpiderlingsFieldJumper,放出跳跃幼蛛
SpiderlingsFieldStatus,蛛网场地：{phase} · 陷阱 {count}/4 · 连接 {links}/4
SpiderlingsFieldPhasepreparing,织网准备
SpiderlingsFieldPhaseready,连接准备
SpiderlingsFieldPhasesprung,连接完整
SpiderlingsFieldPhasebroken,已破坏
SpiderlingsFieldPhasecomplete,已完成
SpiderlingsSpinnerWeave,拘束进度：{value}/100
SpiderlingsSpinnerEscape,挣脱进度：{value}/{goal}
SpiderlingsFieldAddSpinner,加入一只 Spinner
SpiderlingsFieldTrap,地面蛛丝缠住脚步，短暂减缓移动。
SpiderlingsFieldRebuild,幼蛛将在 {turns} 个世界回合后重新开始布场。
SpiderlingsFieldWaiting,陷阱已备好。西侧入口在你进入前保持开放。
NameMageSpiderlings,法师幼蛛
KillMageSpiderlings,法师幼蛛收拢细腿，退入阴影。
KinkyDungeonSpellSpiderlingsMageBolt,幼蛛魔法丝弹
KinkyDungeonSpellCastSpiderlingsMageBolt,法师幼蛛聚起一团发亮的蛛丝，向你掷来。
KinkyDungeonSpellSpiderlingsMageRune,蛛丝符文
KinkyDungeonSpellCastSpiderlingsMageRune,法师幼蛛在附近地面刻下一枚发光的符文。
RestraintSpiderlingsMageArmSigil,蛛丝臂印
RestraintSpiderlingsMageArmSigilDesc,一枚紧实的蛛丝印记缠住你的双臂，将它们束在一起。
RestraintSpiderlingsMageArmSigilDesc2,这是暂定设计。可按通常规则切断、移除或挣脱。
