NameSpinner,幼蛛の糸紡ぎ
RestraintSpiderlingsWebbingLv3BellyDesc2,織り模様は厚い表面に埋もれ、体が動くと浅い襞だけが浮かぶ。
RestraintSpiderlingsWebbingLv3Legs,密織りの脚縛り
RestraintSpiderlingsWebbingLv3LegsDesc,蛛糸が揃えた両脚をすっかり覆い、間の隙間まで密な白糸で満たしている。
RestraintSpiderlingsWebbingLv3LegsDesc2,両脚の輪郭はひとつに溶け、見えていた帯も滑らかな覆いの下に隠れている。
RestraintSpiderlingsWebbingLv3Ankles,密織りの足首縛り
RestraintSpiderlingsWebbingLv3AnklesDesc,密な蛛糸が両足首を包み、隣り合う輪を継ぎ目のない覆いに織り込んでいる。
RestraintSpiderlingsWebbingLv3AnklesDesc2,結び目も継ぎ目も消え、足首の脇の浅い窪みだけが動きに従う。
RestraintSpiderlingsWebbingLv3Foot,密織りの足包み
RestraintSpiderlingsWebbingLv3FootDesc,蛛糸が両足をすっぽり包み、甲や縁の細部を厚い殻の中へ隠している。
RestraintSpiderlingsWebbingLv3FootDesc2,無数の糸が白い面に溶け合い、寄り添う両足の大まかな形だけが残る。
RestraintSpiderlingsWebbingLv3Blindfold,密織りの目隠し
RestraintSpiderlingsWebbingLv3BlindfoldDesc,密な蛛糸が目を覆い、目隠しの縁さえもひと続きの白に埋めている。
RestraintSpiderlingsWebbingLv3BlindfoldDesc2,頬の脇に遊び糸はもうなく、ぴったりした覆いが頭と一緒に動く。
RestraintSpiderlingsWebbingLv3Gag,密織りの口枷
RestraintSpiderlingsWebbingLv3GagDesc,厚い蛛糸が口を覆い、重なった網を密な一枚の面へ隠している。
RestraintSpiderlingsWebbingLv3GagDesc2,唇の脇の継ぎ目も見えず、くぐもった声が糸を通ってかすかな震えを起こす。
RestraintSpiderlingsWebbingLv3Hood,密織りの頭巾
RestraintSpiderlingsWebbingLv3HoodDesc,光を通さない蛛糸が頭頂から下り、頭全体を厚い頭巾に包んでいる。
RestraintSpiderlingsWebbingLv3HoodDesc2,髪先も顔の細部も白糸の下に隠れ、動きに揺れる輪郭だけが残る。
RestraintSpiderlingsWebbingCocoon,幼蛛の糸繭
RestraintSpiderlingsWebbingCocoonDesc,密な蛛糸が体を厚い繭に包んでいる。縁は口の下まで寄り、頭の上半分だけが外に出ている。
RestraintSpiderlingsWebbingCocoonDesc2,身をよじると繭壁がかすかに震え、床を引く糸がささめく。内側の動きを暗がりへ伝えているかのようだ。
KinkyDungeonSpiderlingsWebbingLv1Covered,TargetLv1はTargetLv2の下に埋もれ、触れるのは表を覆う粘った糸ばかりだ。
KinkyDungeonSpiderlingsCocoonAnchored,幼蛛たちが繭の周囲に幾重もの網を張り、その場にしっかりと縫い留めた！
KDMapMod_SpiderlingsInfestation,幼蛛の侵入
KinkyDungeonMapModSpiderlingsInfestation,隅々に糸が広がり、影の中でかさかさという音が呼び交わされている。ここにはずっと前から別の住人がいたようだ。
KDEscapeMethod_SpiderlingsInfestation,目標の巣穴を壊す
KDEscapeMethodDesc_SpiderlingsInfestation,この場所に最初から巣くっていた穴が、今も暗がりでうごめいている。入口の奥から細かな掻き音が聞こえる。
SpiderlingsInfestationProgress,破壊した目標の巣穴：CURRENT/5
SpiderlingsInfestationBlocked,階段の前で足が止まる。巣穴の奥のかさかさという音は、まだ静まっていない。（CURRENT/5）
SpiderlingsInfestationComplete,この場所に最初からあった巣穴はすべて崩れた。さらに深くへ続く階段が目の前にある。（5/5）
KDModButtonspiderlingsPinkWebbing,ピンクの蜘蛛糸（オフ：元の色）
KinkyDungeonSpiderlingsWebbingInterwoven,交差した糸が締まり、身体の別の部位にも絡みつく。
KinkyDungeonStruggleCutFailSpiderlingsWebbing,あなたはTargetRestraintの糸の隙間に刃を進める。粘る糸が数本切れ、切れ目が少し深くなった。
KinkyDungeonStruggleCutFailSpiderlingsWebbingAroused,あなたはTargetRestraintの糸の隙間に刃を進める。粘る糸が数本切れ、切れ目が少し深くなった。
KinkyDungeonStruggleCutSuccessSpiderlingsWebbing,あなたはTargetRestraintをつなぎ留めていた最後の糸を切り離す。ちぎれた網が束縛されていた場所から落ちた。
KinkyDungeonStruggleStruggleFailSpiderlingsWebbing,あなたはTargetRestraintを押し広げる。張り詰めた糸が緩み、網目の隙間が少し広がった。
KinkyDungeonStruggleStruggleFailSpiderlingsWebbingAroused,あなたはTargetRestraintを押し広げる。張り詰めた糸が緩み、網目の隙間が少し広がった。
KinkyDungeonStruggleStruggleSuccessSpiderlingsWebbing,あなたはTargetRestraintに残る粘る糸を振りほどき、外れた網をまとめた。
KinkyDungeonStruggleRemoveFailSpiderlingsWebbing,あなたはTargetRestraintの貼りついた糸をほぐす。網の一部が少し剥がれた。
KinkyDungeonStruggleRemoveFailSpiderlingsWebbingAroused,あなたはTargetRestraintの貼りついた糸をほぐす。網の一部が少し剥がれた。
KinkyDungeonStruggleRemoveSuccessSpiderlingsWebbing,あなたはTargetRestraintを剥がし、外れた糸をまとめた。
KinkyDungeonStruggleCutFailSpiderlingsCocoon,あなたはTargetRestraintに刃先を差し込む。繭壁の細い切れ目に沿って、さらに数本の糸が切れた。
KinkyDungeonStruggleCutFailSpiderlingsCocoonAroused,あなたはTargetRestraintに刃先を差し込む。繭壁の細い切れ目に沿って、さらに数本の糸が切れた。
KinkyDungeonStruggleCutSuccessSpiderlingsCocoon,あなたはTargetRestraintをつなぐ最後の継ぎ目を切り開く。裂けた繭殻が身体から剥がれ落ちた。
KinkyDungeonStruggleStruggleFailSpiderlingsCocoon,あなたはTargetRestraintを内側から押し広げる。繭壁が震え、内側の糸が数本緩んで切れた。
KinkyDungeonStruggleStruggleFailSpiderlingsCocoonAroused,あなたはTargetRestraintを内側から押し広げる。繭壁が震え、内側の糸が数本緩んで切れた。
KinkyDungeonStruggleStruggleSuccessSpiderlingsCocoon,あなたはTargetRestraintの裂け目を押し広げ、緩んだ繭殻から身体を抜いた。
KinkyDungeonStruggleRemoveFailSpiderlingsCocoon,あなたはTargetRestraintの縁を少しずつ剥がす。貼りついた糸の層がもう少し分かれた。
KinkyDungeonStruggleRemoveFailSpiderlingsCocoonAroused,あなたはTargetRestraintの縁を少しずつ剥がす。貼りついた糸の層がもう少し分かれた。
KinkyDungeonStruggleRemoveSuccessSpiderlingsCocoon,あなたはTargetRestraintを剥ぎ開き、緩んだ繭殻から抜け出した。
KDModButtonspiderlingsMapPopulationCap,マップ内の幼蛛上限（0：無制限）
KinkyDungeonStatSpiderlingsCocoonStart,繭の中の目覚め
KinkyDungeonStatDescSpiderlingsCocoonStart,柔らかな繭の中で目覚めると、幾重にも織り重ねられた蜘蛛の糸が頭からつま先までぴたりと覆っています。少し身じろぎするたび、全身に沿う糸がそっと引かれます。
KinkyDungeonSpellCastSpiderlingsJumperDashNPC,跳躍する幼蜘蛛は相手の足元を見つめ、身を低くして跳ぶ構えを取る。
KDModButtonspiderlingsNestTunnelerCap,巣ごとの掘穴幼蛛の累計上限（0：召喚しない）
RestraintSpiderlingsSpinnerLegbinder,蛛糸の脚袋
RestraintSpiderlingsSpinnerLegbinderDesc,足裏から太ももの上部までを包む蛛糸。両腕は自由に動かせる。
RestraintSpiderlingsSpinnerLegbinderDesc2,幅広い帯状の蛛糸を螺旋状に巻くデモ。切断4回、解除／抵抗6回。半完成なら半分で進捗共有。
SpiderlingsSpinnerPull,糸を振りほどく · 体力10 · 1ターン
SpiderlingsSpinnerContest,参加幼蛛：{count} · 毎ターン製織 +{rate}
SpiderlingsSpinnerStart,完全な網が脚を捕らえた。拘束ゲージより先に脱出ゲージを満たそう。援軍は製織速度と脱出目標を増やす。
SpiderlingsSpinnerWin,糸を振りほどいた。参加中の幼蛛すべてが続く四ターンの間気絶する。
SpiderlingsSpinnerInterrupt,共同の糸紡ぎが中断した。行動できるが、織られた糸は残る。
SpiderlingsSpinnerTired,体力が10必要。待機やポーションの使用はできる。
SpiderlingsSpinnerWrap,五つの世界ターンをかけて脚を包みます。腕の状態は維持されます。
SpiderlingsSpinnerDone,脚袋が完成。攻撃、アイテム使用、ゆっくりした移動、解除ができる。
KinkyDungeonStatSpiderlingsSpinnerDemo,紡ぎ子グモの体験
KinkyDungeonStatDescSpiderlingsSpinnerDemo,平坦な試験場で幼グモが地面に罠を置き、罠同士を糸で結んで退路を塞ぐ。対抗と5ターンの巻き付けを試せる。
NameSpiderlingsSilkAnchor,蛛糸の結び目
KillSpiderlingsSilkAnchor,蛛糸の囲いが裂けた。
SpiderlingsFieldPreparing,幼グモは地面に罠を置いてから結び、退路を塞ぐ。閉鎖前に逃げるか接続を切ろう。
SpiderlingsFieldReady,2つの罠が結ばれた。別の退路を塞ごうとしている。
SpiderlingsFieldSprung,罠の接続が区域を囲んだ。内部に残ると捕獲される可能性がある。
SpiderlingsFieldBroken,結び目が切れ、罠と牽制が解除されました。
SpiderlingsFieldReset,試遊リセット
SpiderlingsFieldJumper,跳躍幼蛛を放す
SpiderlingsFieldStatus,蛛糸の区域：{phase} · 罠 {count}/4 · 接続 {links}/4
SpiderlingsFieldPhasepreparing,準備中
SpiderlingsFieldPhaseready,接続準備
SpiderlingsFieldPhasesprung,閉鎖完了
SpiderlingsFieldPhasebroken,破壊済み
SpiderlingsFieldPhasecomplete,完了
SpiderlingsSpinnerWeave,拘束：{value}/100
SpiderlingsSpinnerEscape,脱出：{value}/{goal}
SpiderlingsFieldAddSpinner,Spinner を追加
SpiderlingsFieldTrap,地面の蛛糸に足が引っ掛かり、一時的に移動が遅くなる。
SpiderlingsFieldRebuild,あと {turns} ワールドターンで幼グモが再設置を始める。
SpiderlingsFieldWaiting,罠の準備完了。入るまで西側の入口は開いている。
NameMageSpiderlings,Spiderling Mage
KillMageSpiderlings,The Spiderling Mage draws back its legs and retreats into the shadows.
KinkyDungeonSpellSpiderlingsMageBolt,Mage Silk Bolt
KinkyDungeonSpellCastSpiderlingsMageBolt,The Spiderling Mage casts a bright knot of silk toward you.
KinkyDungeonSpellSpiderlingsMageRune,Silken Rune
KinkyDungeonSpellCastSpiderlingsMageRune,The Spiderling Mage marks a nearby tile with a glowing rune.
RestraintSpiderlingsMageArmSigil,Silken Arm Sigil
RestraintSpiderlingsMageArmSigilDesc,A compact silk mark winds around your arms and holds them together.
RestraintSpiderlingsMageArmSigilDesc2,Cut remove or struggle against it using the usual rules.
