NameSpinner,Паучонок-прядильщик
RestraintSpiderlingsWebbingLv3BellyDesc2,Узоры плетения тонут в толстой поверхности; при движении тела проступают только неглубокие складки.
RestraintSpiderlingsWebbingLv3Legs,Плотные путы на ноги
RestraintSpiderlingsWebbingLv3LegsDesc,Шёлк полностью укрывает сведённые ноги, заполняя просветы между ними густыми белыми нитями.
RestraintSpiderlingsWebbingLv3LegsDesc2,Очертания обеих ног сливаются; прежние ленты скрылись под гладкой оболочкой.
RestraintSpiderlingsWebbingLv3Ankles,Плотные путы на щиколотки
RestraintSpiderlingsWebbingLv3AnklesDesc,Густой шёлк окружает щиколотки, сплетая соседние кольца в бесшовную оболочку.
RestraintSpiderlingsWebbingLv3AnklesDesc2,Узлы и стыки исчезли; при движении меняются лишь неглубокие вмятины у щиколоток.
RestraintSpiderlingsWebbingLv3Foot,Плотная оболочка стоп
RestraintSpiderlingsWebbingLv3FootDesc,Шёлк полностью заключает стопы в толстую оболочку, скрывая подробности краёв и подъёмов.
RestraintSpiderlingsWebbingLv3FootDesc2,Бесчисленные нити сливаются в сплошную белизну, оставляя лишь общую форму сведённых стоп.
RestraintSpiderlingsWebbingLv3Blindfold,Плотная повязка на глаза
RestraintSpiderlingsWebbingLv3BlindfoldDesc,Густой шёлк закрывает глаза, погребая края повязки в непрерывной белой поверхности.
RestraintSpiderlingsWebbingLv3BlindfoldDesc2,У щёк больше не колышутся свободные нити; плотно прилегающая оболочка поворачивается вместе с головой.
RestraintSpiderlingsWebbingLv3Gag,Плотный шёлковый кляп
RestraintSpiderlingsWebbingLv3GagDesc,Толстый шёлк закрывает рот, укрывая переплетённую паутину плотной сплошной поверхностью.
RestraintSpiderlingsWebbingLv3GagDesc2,Стыки у губ исчезли; глухие звуки проходят сквозь шёлк, вызывая едва заметную дрожь.
RestraintSpiderlingsWebbingLv3Hood,Плотный шёлковый капюшон
RestraintSpiderlingsWebbingLv3HoodDesc,Непрозрачный шёлк спускается от макушки и заключает всю голову в толстый капюшон.
RestraintSpiderlingsWebbingLv3HoodDesc2,Волосы и черты лица скрываются под белыми нитями; остаётся лишь покачивающийся силуэт.
RestraintSpiderlingsWebbingCocoon,Кокон из паучьего шёлка
RestraintSpiderlingsWebbingCocoonDesc,Плотный шёлк оборачивает тело толстым коконом. Край сходится подо ртом, оставляя верхнюю часть головы снаружи.
RestraintSpiderlingsWebbingCocoonDesc2,Стенка кокона вздрагивает от движений. Волочащиеся нити шуршат по полу, словно передавая в темноту шевеление внутри.
KinkyDungeonSpiderlingsWebbingLv1Covered,TargetLv1 скрывается под TargetLv2; пальцы касаются лишь липкого шёлка снаружи.
KinkyDungeonSpiderlingsCocoonAnchored,Паучата протягивают паутину вокруг кокона и крепко пришпиливают тебя к месту!
KDMapMod_SpiderlingsInfestation,Нашествие паучат
KinkyDungeonMapModSpiderlingsInfestation,Шёлк расползается по углам, и в тени шорох отвечает шороху. У этого места давно появились другие обитатели.
KDEscapeMethod_SpiderlingsInfestation,Уничтожить отмеченные гнёзда
KDEscapeMethodDesc_SpiderlingsInfestation,Гнёзда первых обитателей всё ещё шевелятся во тьме; из глубины входов доносится мелкое царапанье.
SpiderlingsInfestationProgress,Уничтожено отмеченных гнёзд: CURRENT/5
SpiderlingsInfestationBlocked,Ты останавливаешься перед лестницей. Шорох в глубине гнёзд всё ещё не стих. (CURRENT/5)
SpiderlingsInfestationComplete,Все гнёзда первых обитателей обрушились. Перед тобой лестница, ведущая в глубину. (5/5)
KDModButtonspiderlingsPinkWebbing,Розовая паутина (выкл.: исходная)
KinkyDungeonSpiderlingsWebbingInterwoven,Переплетённые нити стягиваются и опутывают ещё одну часть твоего тела.
KinkyDungeonStruggleCutFailSpiderlingsWebbing,Ты надрезаешь TargetRestraint. Липкие нити лопаются и разрез становится немного глубже.
KinkyDungeonStruggleCutFailSpiderlingsWebbingAroused,Ты надрезаешь TargetRestraint. Липкие нити лопаются и разрез становится немного глубже.
KinkyDungeonStruggleCutSuccessSpiderlingsWebbing,Ты перерезаешь последние нити TargetRestraint. Клочья паутины осыпаются.
KinkyDungeonStruggleStruggleFailSpiderlingsWebbing,Ты тянешь TargetRestraint. Натянутые нити слабеют и просвет в плетении становится чуть шире.
KinkyDungeonStruggleStruggleFailSpiderlingsWebbingAroused,Ты тянешь TargetRestraint. Натянутые нити слабеют и просвет в плетении становится чуть шире.
KinkyDungeonStruggleStruggleSuccessSpiderlingsWebbing,Ты вырываешься из последних липких нитей TargetRestraint и собираешь освободившуюся паутину.
KinkyDungeonStruggleRemoveFailSpiderlingsWebbing,Ты распутываешь слипшиеся нити TargetRestraint. Небольшой участок паутины отлипает.
KinkyDungeonStruggleRemoveFailSpiderlingsWebbingAroused,Ты распутываешь слипшиеся нити TargetRestraint. Небольшой участок паутины отлипает.
KinkyDungeonStruggleRemoveSuccessSpiderlingsWebbing,Ты снимаешь TargetRestraint и собираешь освободившиеся нити.
KinkyDungeonStruggleCutFailSpiderlingsCocoon,Ты вводишь лезвие в TargetRestraint. Вдоль узкого разреза в стенке кокона рвутся ещё несколько нитей.
KinkyDungeonStruggleCutFailSpiderlingsCocoonAroused,Ты вводишь лезвие в TargetRestraint. Вдоль узкого разреза в стенке кокона рвутся ещё несколько нитей.
KinkyDungeonStruggleCutSuccessSpiderlingsCocoon,Ты перерезаешь последний шов TargetRestraint. Рассечённая оболочка кокона спадает с тела.
KinkyDungeonStruggleStruggleFailSpiderlingsCocoon,Ты давишь на TargetRestraint изнутри. Стенка кокона дрожит и несколько внутренних нитей поддаются.
KinkyDungeonStruggleStruggleFailSpiderlingsCocoonAroused,Ты давишь на TargetRestraint изнутри. Стенка кокона дрожит и несколько внутренних нитей поддаются.
KinkyDungeonStruggleStruggleSuccessSpiderlingsCocoon,Ты расширяешь разрыв в TargetRestraint и протискиваешься из обмякшей оболочки кокона.
KinkyDungeonStruggleRemoveFailSpiderlingsCocoon,Ты понемногу отслаиваешь край TargetRestraint. Слипшиеся слои расходятся чуть дальше.
KinkyDungeonStruggleRemoveFailSpiderlingsCocoonAroused,Ты понемногу отслаиваешь край TargetRestraint. Слипшиеся слои расходятся чуть дальше.
KinkyDungeonStruggleRemoveSuccessSpiderlingsCocoon,Ты раскрываешь слои TargetRestraint и выбираешься из ослабленного кокона.
KDModButtonspiderlingsMapPopulationCap,Пауки на карте (0: без лимита)
KinkyDungeonStatSpiderlingsCocoonStart,Пробуждение в коконе
KinkyDungeonStatDescSpiderlingsCocoonStart,Вы просыпаетесь в мягком коконе: плотные слои паучьего шёлка окутывают вас с головы до ног. При каждом лёгком движении натягиваются нити, тесно прилегающие к телу.
KinkyDungeonSpellCastSpiderlingsJumperDashNPC,Прыгающий паучок смотрит под ноги противнику и припадает к земле перед прыжком.
KDModButtonspiderlingsNestTunnelerCap,Всего Tunneler на гнездо (0: не призывать)
RestraintSpiderlingsSpinnerLegbinder,Шёлковый мешок для ног
RestraintSpiderlingsSpinnerLegbinderDesc,Шёлк охватывает ноги от подошв до верхней части бёдер. Руки свободны.
RestraintSpiderlingsSpinnerLegbinderDesc2,Демо широких спиральных шёлковых лент. Четыре разреза или шесть попыток снять; для половины нужно вдвое меньше.
SpiderlingsSpinnerPull,Разорвать нити · 10 выносливости · 1 ход
SpiderlingsSpinnerContest,Spinner: {count} · плетение +{rate}/ход
SpiderlingsSpinnerStart,Целая сеть удерживает ноги. Заполни шкалу освобождения первой; новые Spinner ускоряют плетение и повышают цель освобождения.
SpiderlingsSpinnerWin,Нити разорваны. Все участвующие Spinner оглушены на четыре следующих хода.
SpiderlingsSpinnerInterrupt,Плетение прервано. Можно действовать; уже сплетённый шёлк остаётся.
SpiderlingsSpinnerTired,Нужно 10 выносливости. Можно подождать или выпить зелье.
SpiderlingsSpinnerWrap,Опутывание ног длится пять мировых ходов; состояние рук сохраняется.
SpiderlingsSpinnerDone,Мешок готов. Можно атаковать, применять предметы, медленно двигаться или снять его.
KinkyDungeonStatSpiderlingsSpinnerDemo,Проба паучьего плетения
KinkyDungeonStatDescSpiderlingsSpinnerDemo,Плоское поле: паучки ставят ловушки и соединяют их поперёк путей отхода. Испытайте противоборство и пять ходов обматывания.
NameSpiderlingsSilkAnchor,Узел паутины
KillSpiderlingsSilkAnchor,Граница паутины рвётся.
SpiderlingsFieldPreparing,Паучки ставят ловушки и соединяют их поперёк пути отхода. Уйдите до замыкания или разрежьте связь.
SpiderlingsFieldReady,Две ловушки соединены. Паучки перекрывают следующий путь отхода.
SpiderlingsFieldSprung,Связи окружили область. Оставшегося внутри игрока могут поймать.
SpiderlingsFieldBroken,Узел разорван. Ловушка и удержание исчезают.
SpiderlingsFieldReset,Повторить опыт
SpiderlingsFieldJumper,Выпустить прыгуна
SpiderlingsFieldStatus,Поле: {phase} · ловушки {count}/4 · связи {links}/4
SpiderlingsFieldPhasepreparing,Строится
SpiderlingsFieldPhaseready,Соединение
SpiderlingsFieldPhasesprung,Замкнуто
SpiderlingsFieldPhasebroken,Разрушена
SpiderlingsFieldPhasecomplete,Завершена
SpiderlingsSpinnerWeave,Путы: {value}/100
SpiderlingsSpinnerEscape,Освобождение: {value}/{goal}
SpiderlingsFieldAddSpinner,Добавить Spinner
SpiderlingsFieldTrap,Шёлк на земле ненадолго замедляет ваши шаги.
SpiderlingsFieldRebuild,Паучки начнут строить заново через {turns} ходов мира.
SpiderlingsFieldWaiting,Ловушки готовы. Западный вход открыт пока вы не войдёте.
NameMageSpiderlings,Spiderling Mage
KillMageSpiderlings,The Spiderling Mage draws back its legs and retreats into the shadows.
KinkyDungeonSpellSpiderlingsMageBolt,Mage Silk Bolt
KinkyDungeonSpellCastSpiderlingsMageBolt,The Spiderling Mage casts a bright knot of silk toward you.
KinkyDungeonSpellSpiderlingsMageRune,Silken Rune
KinkyDungeonSpellCastSpiderlingsMageRune,The Spiderling Mage marks a nearby tile with a glowing rune.
RestraintSpiderlingsMageArmSigil,Silken Arm Sigil
RestraintSpiderlingsMageArmSigilDesc,A compact silk mark winds around your arms and holds them together.
RestraintSpiderlingsMageArmSigilDesc2,Cut remove or struggle against it using the usual rules.
